tod_sin,tod_cos,dow_sin,dow_cos,is_weekend,event_flag,event_countdown,t
-0.7071069,-0.7071067,0.9749279,-0.22252095,0.0,0.0,1.0,2023-03-08 15:00:00
-0.73727727,-0.6755903,0.9749279,-0.22252095,0.0,0.0,1.0,2023-03-08 15:10:00
-0.76604456,-0.6427875,0.9749279,-0.22252095,0.0,0.0,1.0,2023-03-08 15:20:00
-0.79335326,-0.6087615,0.9749279,-0.22252095,0.0,0.0,1.0,2023-03-08 15:30:00
-0.8191521,-0.57357633,0.9749279,-0.22252095,0.0,0.0,1.0,2023-03-08 15:40:00
-0.84339136,-0.5372997,0.9749279,-0.22252095,0.0,0.0,1.0,2023-03-08 15:50:00
-0.86602545,-0.4999999,0.9749279,-0.22252095,0.0,0.0,1.0,2023-03-08 16:00:00
-0.88701075,-0.46174875,0.9749279,-0.22252095,0.0,0.0,1.0,2023-03-08 16:10:00
-0.9063078,-0.42261818,0.9749279,-0.22252095,0.0,0.0,1.0,2023-03-08 16:20:00
-0.9238796,-0.38268313,0.9749279,-0.22252095,0.0,0.0,1.0,2023-03-08 16:30:00
-0.9396926,-0.34202006,0.9749279,-0.22252095,0.0,0.0,1.0,2023-03-08 16:40:00
-0.95371705,-0.30070552,0.9749279,-0.22252095,0.0,0.0,1.0,2023-03-08 16:50:00
-0.9659258,-0.25881898,0.9749279,-0.22252095,0.0,0.0,1.0,2023-03-08 17:00:00
-0.97629607,-0.21643932,0.9749279,-0.22252095,0.0,0.0,1.0,2023-03-08 17:10:00
-0.9848078,-0.17364813,0.9749279,-0.22252095,0.0,0.0,1.0,2023-03-08 17:20:00
-0.9914449,-0.13052592,0.9749279,-0.22252095,0.0,0.0,1.0,2023-03-08 17:30:00
-0.9961947,-0.08715571,0.9749279,-0.22252095,0.0,0.0,1.0,2023-03-08 17:40:00
-0.99904823,-0.04361913,0.9749279,-0.22252095,0.0,0.0,1.0,2023-03-08 17:50:00
-1.0,1.1924881e-08,0.9749279,-0.22252095,0.0,0.0,1.0,2023-03-08 18:00:00
-0.99904823,0.043619152,0.9749279,-0.22252095,0.0,0.0,1.0,2023-03-08 18:10:00
-0.9961947,0.08715574,0.9749279,-0.22252095,0.0,0.0,1.0,2023-03-08 18:20:00
-0.9914448,0.13052642,0.9749279,-0.22252095,0.0,0.0,1.0,2023-03-08 18:30:00
-0.98480767,0.17364863,0.9749279,-0.22252095,0.0,0.0,1.0,2023-03-08 18:40:00
-0.97629595,0.21643981,0.9749279,-0.22252095,0.0,0.0,1.0,2023-03-08 18:50:00
-0.9659257,0.25881946,0.9749279,-0.22252095,0.0,0.0,1.0,2023-03-08 19:00:00
-0.9537169,0.30070597,0.9749279,-0.22252095,0.0,0.0,1.0,2023-03-08 19:10:00
-0.9396925,0.3420205,0.9749279,-0.22252095,0.0,0.0,1.0,2023-03-08 19:20:00
-0.92387944,0.38268358,0.9749279,-0.22252095,0.0,0.0,1.0,2023-03-08 19:30:00
-0.9063078,0.42261818,0.9749279,-0.22252095,0.0,0.0,1.0,2023-03-08 19:40:00
-0.88701075,0.46174875,0.9749279,-0.22252095,0.0,0.0,1.0,2023-03-08 19:50:00
-0.86602545,0.4999999,0.9749279,-0.22252095,0.0,0.0,1.0,2023-03-08 20:00:00
-0.84339136,0.5372997,0.9749279,-0.22252095,0.0,0.0,1.0,2023-03-08 20:10:00
-0.8191521,0.57357633,0.9749279,-0.22252095,0.0,0.0,1.0,2023-03-08 20:20:00
-0.79335326,0.6087615,0.9749279,-0.22252095,0.0,0.0,1.0,2023-03-08 20:30:00
-0.76604456,0.6427875,0.9749279,-0.22252095,0.0,0.0,1.0,2023-03-08 20:40:00
-0.73727727,0.6755903,0.9749279,-0.22252095,0.0,0.0,1.0,2023-03-08 20:50:00
-0.70710653,0.707107,0.9749279,-0.22252095,0.0,0.0,1.0,2023-03-08 21:00:00
-0.67559016,0.7372774,0.9749279,-0.22252095,0.0,0.0,1.0,2023-03-08 21:10:00
-0.6427874,0.7660446,0.9749279,-0.22252095,0.0,0.0,1.0,2023-03-08 21:20:00
-0.60876137,0.7933534,0.9749279,-0.22252095,0.0,0.0,1.0,2023-03-08 21:30:00
-0.5735762,0.81915224,0.9749279,-0.22252095,0.0,0.0,1.0,2023-03-08 21:40:00
-0.5372996,0.8433915,0.9749279,-0.22252095,0.0,0.0,1.0,2023-03-08 21:50:00
-0.49999976,0.86602557,0.9749279,-0.22252095,0.0,0.0,1.0,2023-03-08 22:00:00
-0.46174857,0.8870109,0.9749279,-0.22252095,0.0,0.0,1.0,2023-03-08 22:10:00
-0.42261803,0.9063079,0.9749279,-0.22252095,0.0,0.0,1.0,2023-03-08 22:20:00
-0.38268343,0.92387956,0.9749279,-0.22252095,0.0,0.0,1.0,2023-03-08 22:30:00
-0.34202036,0.93969256,0.9749279,-0.22252095,0.0,0.0,1.0,2023-03-08 22:40:00
-0.3007058,0.95371693,0.9749279,-0.22252095,0.0,0.0,1.0,2023-03-08 22:50:00
-0.25881884,0.9659259,0.9749279,-0.22252095,0.0,0.0,1.0,2023-03-08 23:00:00
-0.21643916,0.9762961,0.9749279,-0.22252095,0.0,0.0,1.0,2023-03-08 23:10:00
-0.17364797,0.9848078,0.9749279,-0.22252095,0.0,0.0,1.0,2023-03-08 23:20:00
-0.13052575,0.99144495,0.9749279,-0.22252095,0.0,0.0,1.0,2023-03-08 23:30:00
-0.08715556,0.9961947,0.9749279,-0.22252095,0.0,0.0,1.0,2023-03-08 23:40:00
-0.043618966,0.99904823,0.9749279,-0.22252095,0.0,0.0,1.0,2023-03-08 23:50:00
1.0,-4.371139e-08,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 06:00:00
0.99904823,-0.043619424,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 06:10:00
0.99619466,-0.087155886,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 06:20:00
0.9914448,-0.13052633,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 06:30:00
0.9848077,-0.1736483,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 06:40:00
0.976296,-0.21643962,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 06:50:00
0.9659258,-0.258819,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 07:00:00
0.95371693,-0.30070576,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 07:10:00
0.9396926,-0.3420201,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 07:20:00
0.9238795,-0.3826835,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 07:30:00
0.90630776,-0.42261833,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 07:40:00
0.8870108,-0.46174866,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 07:50:00
0.8660254,-0.50000006,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 08:00:00
0.8433914,-0.5372997,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 08:10:00
0.819152,-0.5735765,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 08:20:00
0.7933533,-0.6087615,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 08:30:00
0.76604444,-0.64278764,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 08:40:00
0.7372773,-0.6755902,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 08:50:00
0.70710677,-0.70710677,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 09:00:00
0.6755902,-0.7372773,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 09:10:00
0.64278746,-0.76604456,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 09:20:00
0.60876125,-0.79335344,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 09:30:00
0.5735763,-0.8191521,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 09:40:00
0.5372997,-0.8433914,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 09:50:00
0.50000006,-0.8660254,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 10:00:00
0.46174866,-0.8870108,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 10:10:00
0.42261833,-0.90630776,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 10:20:00
0.38268328,-0.9238796,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 10:30:00
0.34202,-0.9396927,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 10:40:00
0.30070564,-0.953717,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 10:50:00
0.2588189,-0.9659259,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 11:00:00
0.21643949,-0.976296,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 11:10:00
0.17364828,-0.9848077,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 11:20:00
0.13052608,-0.9914449,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 11:30:00
0.08715563,-0.9961947,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 11:40:00
0.043619294,-0.99904823,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 11:50:00
-8.742278e-08,-1.0,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 12:00:00
-0.043619227,-0.99904823,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 12:10:00
-0.08715581,-0.9961947,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 12:20:00
-0.13052626,-0.9914448,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 12:30:00
-0.17364846,-0.9848077,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 12:40:00
-0.21643966,-0.976296,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 12:50:00
-0.2588193,-0.96592575,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 13:00:00
-0.30070582,-0.95371693,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 13:10:00
-0.3420204,-0.93969256,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 13:20:00
-0.38268346,-0.9238795,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 13:30:00
-0.42261827,-0.90630776,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 13:40:00
-0.4617488,-0.88701075,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 13:50:00
-0.49999997,-0.86602545,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 14:00:00
-0.53729975,-0.84339136,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 14:10:00
-0.5735764,-0.81915206,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 14:20:00
-0.60876155,-0.79335326,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 14:30:00
-0.6427876,-0.7660445,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 14:40:00
-0.67559034,-0.73727727,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 14:50:00
-0.7071069,-0.7071067,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 15:00:00
-0.73727727,-0.6755903,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 15:10:00
-0.76604456,-0.6427875,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 15:20:00
-0.79335326,-0.6087615,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 15:30:00
-0.8191521,-0.57357633,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 15:40:00
-0.84339136,-0.5372997,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 15:50:00
-0.86602545,-0.4999999,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 16:00:00
-0.88701075,-0.46174875,0.43388382,-0.90096885,0.0,1.0,1.0,2023-03-09 16:10:00
-0.9063078,-0.42261818,0.43388382,-0.90096885,0.0,1.0,0.9722222,2023-03-09 16:20:00
-0.9238796,-0.38268313,0.43388382,-0.90096885,0.0,1.0,0.9444444,2023-03-09 16:30:00
-0.9396926,-0.34202006,0.43388382,-0.90096885,0.0,1.0,0.9166667,2023-03-09 16:40:00
-0.95371705,-0.30070552,0.43388382,-0.90096885,0.0,1.0,0.8888889,2023-03-09 16:50:00
-0.9659258,-0.25881898,0.43388382,-0.90096885,0.0,1.0,0.8611111,2023-03-09 17:00:00
-0.97629607,-0.21643932,0.43388382,-0.90096885,0.0,1.0,0.8333333,2023-03-09 17:10:00
-0.9848078,-0.17364813,0.43388382,-0.90096885,0.0,1.0,0.8055556,2023-03-09 17:20:00
-0.9914449,-0.13052592,0.43388382,-0.90096885,0.0,1.0,0.7777778,2023-03-09 17:30:00
-0.9961947,-0.08715571,0.43388382,-0.90096885,0.0,1.0,0.75,2023-03-09 17:40:00
-0.99904823,-0.04361913,0.43388382,-0.90096885,0.0,1.0,0.7222222,2023-03-09 17:50:00
-1.0,1.1924881e-08,0.43388382,-0.90096885,0.0,1.0,0.6944444,2023-03-09 18:00:00
-0.99904823,0.043619152,0.43388382,-0.90096885,0.0,1.0,0.6666667,2023-03-09 18:10:00
-0.9961947,0.08715574,0.43388382,-0.90096885,0.0,1.0,0.6388889,2023-03-09 18:20:00
-0.9914448,0.13052642,0.43388382,-0.90096885,0.0,1.0,0.6111111,2023-03-09 18:30:00
-0.98480767,0.17364863,0.43388382,-0.90096885,0.0,1.0,0.5833333,2023-03-09 18:40:00
-0.97629595,0.21643981,0.43388382,-0.90096885,0.0,1.0,0.5555556,2023-03-09 18:50:00
-0.9659257,0.25881946,0.43388382,-0.90096885,0.0,1.0,0.5277778,2023-03-09 19:00:00
-0.9537169,0.30070597,0.43388382,-0.90096885,0.0,1.0,0.5,2023-03-09 19:10:00
-0.9396925,0.3420205,0.43388382,-0.90096885,0.0,1.0,0.4722222,2023-03-09 19:20:00
-0.92387944,0.38268358,0.43388382,-0.90096885,0.0,1.0,0.44444445,2023-03-09 19:30:00
-0.9063078,0.42261818,0.43388382,-0.90096885,0.0,1.0,0.41666666,2023-03-09 19:40:00
-0.88701075,0.46174875,0.43388382,-0.90096885,0.0,1.0,0.3888889,2023-03-09 19:50:00
-0.86602545,0.4999999,0.43388382,-0.90096885,0.0,1.0,0.3611111,2023-03-09 20:00:00
-0.84339136,0.5372997,0.43388382,-0.90096885,0.0,1.0,0.33333334,2023-03-09 20:10:00
-0.8191521,0.57357633,0.43388382,-0.90096885,0.0,1.0,0.30555555,2023-03-09 20:20:00
-0.79335326,0.6087615,0.43388382,-0.90096885,0.0,1.0,0.2777778,2023-03-09 20:30:00
-0.76604456,0.6427875,0.43388382,-0.90096885,0.0,1.0,0.25,2023-03-09 20:40:00
-0.73727727,0.6755903,0.43388382,-0.90096885,0.0,1.0,0.22222222,2023-03-09 20:50:00
-0.70710653,0.707107,0.43388382,-0.90096885,0.0,1.0,0.19444445,2023-03-09 21:00:00
-0.67559016,0.7372774,0.43388382,-0.90096885,0.0,1.0,0.16666667,2023-03-09 21:10:00
-0.6427874,0.7660446,0.43388382,-0.90096885,0.0,1.0,0.1388889,2023-03-09 21:20:00
-0.60876137,0.7933534,0.43388382,-0.90096885,0.0,1.0,0.11111111,2023-03-09 21:30:00
-0.5735762,0.81915224,0.43388382,-0.90096885,0.0,1.0,0.083333336,2023-03-09 21:40:00
-0.5372996,0.8433915,0.43388382,-0.90096885,0.0,1.0,0.055555556,2023-03-09 21:50:00
-0.49999976,0.86602557,0.43388382,-0.90096885,0.0,1.0,0.027777778,2023-03-09 22:00:00
-0.46174857,0.8870109,0.43388382,-0.90096885,0.0,1.0,0.0,2023-03-09 22:10:00
-0.42261803,0.9063079,0.43388382,-0.90096885,0.0,1.0,0.027777778,2023-03-09 22:20:00
-0.38268343,0.92387956,0.43388382,-0.90096885,0.0,1.0,0.055555556,2023-03-09 22:30:00
-0.34202036,0.93969256,0.43388382,-0.90096885,0.0,1.0,0.083333336,2023-03-09 22:40:00
-0.3007058,0.95371693,0.43388382,-0.90096885,0.0,1.0,0.11111111,2023-03-09 22:50:00
-0.25881884,0.9659259,0.43388382,-0.90096885,0.0,1.0,0.1388889,2023-03-09 23:00:00
-0.21643916,0.9762961,0.43388382,-0.90096885,0.0,1.0,0.16666667,2023-03-09 23:10:00
-0.17364797,0.9848078,0.43388382,-0.90096885,0.0,1.0,0.19444445,2023-03-09 23:20:00
-0.13052575,0.99144495,0.43388382,-0.90096885,0.0,1.0,0.22222222,2023-03-09 23:30:00
-0.08715556,0.9961947,0.43388382,-0.90096885,0.0,1.0,0.25,2023-03-09 23:40:00
-0.043618966,0.99904823,0.43388382,-0.90096885,0.0,1.0,0.2777778,2023-03-09 23:50:00
1.0,-4.371139e-08,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 06:00:00
0.99904823,-0.043619424,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 06:10:00
0.99619466,-0.087155886,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 06:20:00
0.9914448,-0.13052633,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 06:30:00
0.9848077,-0.1736483,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 06:40:00
0.976296,-0.21643962,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 06:50:00
0.9659258,-0.258819,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 07:00:00
0.95371693,-0.30070576,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 07:10:00
0.9396926,-0.3420201,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 07:20:00
0.9238795,-0.3826835,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 07:30:00
0.90630776,-0.42261833,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 07:40:00
0.8870108,-0.46174866,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 07:50:00
0.8660254,-0.50000006,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 08:00:00
0.8433914,-0.5372997,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 08:10:00
0.819152,-0.5735765,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 08:20:00
0.7933533,-0.6087615,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 08:30:00
0.76604444,-0.64278764,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 08:40:00
0.7372773,-0.6755902,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 08:50:00
0.70710677,-0.70710677,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 09:00:00
0.6755902,-0.7372773,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 09:10:00
0.64278746,-0.76604456,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 09:20:00
0.60876125,-0.79335344,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 09:30:00
0.5735763,-0.8191521,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 09:40:00
0.5372997,-0.8433914,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 09:50:00
0.50000006,-0.8660254,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 10:00:00
0.46174866,-0.8870108,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 10:10:00
0.42261833,-0.90630776,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 10:20:00
0.38268328,-0.9238796,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 10:30:00
0.34202,-0.9396927,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 10:40:00
0.30070564,-0.953717,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 10:50:00
0.2588189,-0.9659259,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 11:00:00
0.21643949,-0.976296,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 11:10:00
0.17364828,-0.9848077,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 11:20:00
0.13052608,-0.9914449,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 11:30:00
0.08715563,-0.9961947,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 11:40:00
0.043619294,-0.99904823,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 11:50:00
-8.742278e-08,-1.0,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 12:00:00
-0.043619227,-0.99904823,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 12:10:00
-0.08715581,-0.9961947,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 12:20:00
-0.13052626,-0.9914448,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 12:30:00
-0.17364846,-0.9848077,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 12:40:00
-0.21643966,-0.976296,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 12:50:00
-0.2588193,-0.96592575,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 13:00:00
-0.30070582,-0.95371693,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 13:10:00
-0.3420204,-0.93969256,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 13:20:00
-0.38268346,-0.9238795,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 13:30:00
-0.42261827,-0.90630776,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 13:40:00
-0.4617488,-0.88701075,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 13:50:00
-0.49999997,-0.86602545,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 14:00:00
-0.53729975,-0.84339136,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 14:10:00
-0.5735764,-0.81915206,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 14:20:00
-0.60876155,-0.79335326,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 14:30:00
-0.6427876,-0.7660445,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 14:40:00
-0.67559034,-0.73727727,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 14:50:00
-0.7071069,-0.7071067,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 15:00:00
-0.73727727,-0.6755903,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 15:10:00
-0.76604456,-0.6427875,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 15:20:00
-0.79335326,-0.6087615,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 15:30:00
-0.8191521,-0.57357633,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 15:40:00
-0.84339136,-0.5372997,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 15:50:00
-0.86602545,-0.4999999,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 16:00:00
-0.88701075,-0.46174875,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 16:10:00
-0.9063078,-0.42261818,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 16:20:00
-0.9238796,-0.38268313,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 16:30:00
-0.9396926,-0.34202006,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 16:40:00
-0.95371705,-0.30070552,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 16:50:00
-0.9659258,-0.25881898,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 17:00:00
-0.97629607,-0.21643932,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 17:10:00
-0.9848078,-0.17364813,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 17:20:00
-0.9914449,-0.13052592,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 17:30:00
-0.9961947,-0.08715571,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 17:40:00
-0.99904823,-0.04361913,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 17:50:00
-1.0,1.1924881e-08,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 18:00:00
-0.99904823,0.043619152,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 18:10:00
-0.9961947,0.08715574,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 18:20:00
-0.9914448,0.13052642,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 18:30:00
-0.98480767,0.17364863,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 18:40:00
-0.97629595,0.21643981,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 18:50:00
-0.9659257,0.25881946,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 19:00:00
-0.9537169,0.30070597,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 19:10:00
-0.9396925,0.3420205,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 19:20:00
-0.92387944,0.38268358,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 19:30:00
-0.9063078,0.42261818,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 19:40:00
-0.88701075,0.46174875,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 19:50:00
-0.86602545,0.4999999,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 20:00:00
-0.84339136,0.5372997,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 20:10:00
-0.8191521,0.57357633,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 20:20:00
-0.79335326,0.6087615,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 20:30:00
-0.76604456,0.6427875,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 20:40:00
-0.73727727,0.6755903,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 20:50:00
-0.70710653,0.707107,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 21:00:00
-0.67559016,0.7372774,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 21:10:00
-0.6427874,0.7660446,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 21:20:00
-0.60876137,0.7933534,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 21:30:00
-0.5735762,0.81915224,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 21:40:00
-0.5372996,0.8433915,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 21:50:00
-0.49999976,0.86602557,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 22:00:00
-0.46174857,0.8870109,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 22:10:00
-0.42261803,0.9063079,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 22:20:00
-0.38268343,0.92387956,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 22:30:00
-0.34202036,0.93969256,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 22:40:00
-0.3007058,0.95371693,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 22:50:00
-0.25881884,0.9659259,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 23:00:00
-0.21643916,0.9762961,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 23:10:00
-0.17364797,0.9848078,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 23:20:00
-0.13052575,0.99144495,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-10 23:30:00
